Hour15,Hour12,DATE,DAYOFWEEK,HOLIDAYPX,HOLIDAYM,WDWTICKETSEASON,WDWevent,WDWMAXTEMP,WDWMINTEMP,MKevent,inSession
90.0,119.375,7/1/2019,2,4,0,peak,0,90.96,74.24,1,1.0
99.375,116.875,7/2/2019,3,3,4,peak,0,90.96,74.24,0,2.0
98.3333333,81.875,7/3/2019,4,2,4,peak,0,90.26,76.22,0,2.0
123.75,119.444444,7/4/2019,5,0,0,peak,0,92.91,74.48,0,0.0
125.555556,118.125,7/5/2019,6,2,4,regular,0,93.52,76.12,0,0.0
96.25,103.888889,7/6/2019,7,3,4,regular,0,87.82,75.72,0,0.0
105.0,119.545455,7/7/2019,1,4,0,regular,0,89.86,73.89,1,4.0
130.0,136.25,7/8/2019,2,5,0,regular,0,91.6,74.35,0,4.0
126.666667,119.375,7/9/2019,3,6,0,regular,0,90.04,73.87,1,5.0
116.25,120.625,7/10/2019,4,7,0,regular,0,89.24,74.88,0,5.0
124.5,112.5,7/11/2019,5,8,0,regular,0,86.67,74.58,1,5.0
95.625,102.777778,7/12/2019,6,9,0,regular,0,87.26,77.21,0,5.0
120.0,114.375,7/13/2019,7,10,0,regular,0,92.52,75.72,0,5.0
93.75,85.0,7/14/2019,1,11,0,regular,0,92.29,75.64,1,5.0
135.0,113.125,7/15/2019,2,12,0,regular,0,91.42,74.22,0,5.0
105.0,112.5,7/16/2019,3,13,0,regular,0,88.44,74.18,1,5.0
104.375,110.625,7/17/2019,4,14,0,regular,0,88.17,74.84,0,5.0
125.0,115.625,7/18/2019,5,15,0,regular,0,89.65,74.29,1,7.0
101.25,93.75,7/19/2019,6,16,0,regular,0,87.06,74.24,0,7.0
95.0,108.75,7/20/2019,7,17,0,regular,0,85.15,73.92,0,7.0
107.5,101.875,7/21/2019,1,18,0,regular,0,81.35,75.25,1,7.0
130.0,125.0,7/22/2019,2,19,0,regular,0,88.31,76.46,0,7.0
110.833333,121.875,7/23/2019,3,20,0,regular,0,93.07,75.44,1,8.0
130.0,106.666667,7/24/2019,4,21,0,regular,0,93.69,77.3,0,8.0
118.125,104.375,7/25/2019,5,22,0,regular,0,91.8,76.61,1,11.0
115.0,120.714286,7/26/2019,6,23,0,regular,0,91.53,76.77,0,12.0
98.75,105.0,7/27/2019,7,24,0,regular,0,87.02,77.11,0,12.0
101.25,105.0,7/28/2019,1,25,0,regular,0,81.61,76.81,1,12.0
135.0,123.125,7/29/2019,2,26,0,regular,0,78.83,74.17,0,12.0
118.125,123.571429,7/30/2019,3,27,0,regular,0,91.5,73.92,1,12.0
103.75,129.375,7/31/2019,4,28,0,regular,0,84.19,75.14,0,12.0
111.25,114.444444,8/1/2019,5,29,0,regular,0,90.84,74.84,1,13.0
116.333333,115.714286,8/2/2019,6,30,0,regular,0,92.57,74.58,0,13.0
111.875,111.875,8/3/2019,7,31,0,regular,0,92.08,77.29,0,13.0
100.0,118.75,8/4/2019,1,30,0,regular,0,92.69,76.21,1,19.0
120.625,112.777778,8/5/2019,2,29,0,regular,0,92.32,77.5,0,19.0
122.222222,103.75,8/6/2019,3,28,0,regular,0,92.9,78.01,1,20.0
108.0,115.625,8/7/2019,4,27,0,regular,0,93.02,77.41,0,21.0
98.75,110.0,8/8/2019,5,26,0,regular,0,92.32,77.43,1,23.0
101.25,113.125,8/9/2019,6,25,0,regular,0,89.47,76.51,0,23.0
122.5,121.25,8/10/2019,7,24,0,regular,0,90.72,75.74,0,23.0
90.0,103.125,8/11/2019,1,23,0,regular,0,88.05,75.88,1,43.0
117.0,104.2857143,8/12/2019,2,22,0,regular,0,90.83,75.86,0,43.0
115.0,101.666667,8/13/2019,3,21,0,regular,0,89.9,77.16,1,45.0
102.0,110.0,8/14/2019,4,20,0,regular,0,89.8,77.56,0,51.0
105.0,113.5714286,8/15/2019,5,19,0,regular,1,90.61,76.38,0,54.0
80.0,82.1428714,8/16/2019,6,18,0,regular,1,89.61,74.7,1,53.0
124.375,93.75,8/17/2019,7,17,0,regular,1,92.52,73.51,0,53.0
107.7777778,105.0,8/18/2019,1,16,0,regular,1,89.59,77.46,1,61.0
110.0,118.125,8/19/2019,2,15,0,regular,0,90.24,76.95,0,61.0
68.3333333,83.75,8/20/2019,3,14,0,regular,0,93.04,74.22,1,66.0
112.5,101.875,8/21/2019,4,13,0,regular,0,91.35,76.42,0,68.0
88.125,118.5714286,8/22/2019,5,12,0,regular,0,90.71,76.31,1,72.0
70.0,66.875,8/23/2019,6,11,0,regular,0,86.13,76.43,1,71.0
108.125,103.125,8/24/2019,7,10,0,regular,0,85.88,76.17,0,71.0
88.75,98.125,8/25/2019,1,9,0,regular,0,84.62,76.33,1,80.0
96.25,88.0,8/26/2019,2,8,0,value,0,82.91,75.27,0,80.0
70.71428571,68.125,8/27/2019,3,7,0,value,0,86.28,74.74,1,79.0
92.5,90.0,8/28/2019,4,6,0,value,0,92.09,73.47,0,83.0
66.875,71.25,8/29/2019,5,5,0,value,0,93.25,77.28,1,84.0
67.5,48.57142857,8/30/2019,6,4,0,value,0,91.21,74.38,1,82.0
68.3333333,66.25,8/31/2019,7,3,0,regular,0,86.44,73.13,0,82.0
63.125,59.375,9/1/2019,1,2,1,regular,0,86.24,74.23,0,0.0
43.75,47.5,9/2/2019,2,0,0,regular,0,88.33,75.08,1,0.0
50.0,40.71426571,9/3/2019,3,2,1,value,0,89.19,74.89,0,92.0
50.0,44.375,9/4/2019,4,3,0,value,0,83.97,76.1,0,95.0
48.125,46.25,9/5/2019,5,4,0,value,0,90.65,75.31,1,96.0
31.25,40.0,9/6/2019,6,5,0,regular,0,86.99,77.11,1,96.0
68.125,58.125,9/7/2019,7,6,0,regular,0,83.44,76.8,0,96.0
48.75,50.0,9/8/2019,1,7,0,regular,0,79.86,74.32,1,97.0
64.4444444,73.125,9/9/2019,2,8,0,value,0,82.84,74.26,0,97.0
40.5555556,48.57142857,9/10/2019,3,9,0,value,0,87.71,72.6,1,97.0
66.25,62.5,9/11/2019,4,10,0,value,0,89.86,71.33,0,96.0
55.0,58.75,9/12/2019,5,11,0,value,0,89.76,75.76,1,96.0
43.75,45.625,9/13/2019,6,12,0,regular,0,89.67,74.77,1,95.0
83.125,68.125,9/14/2019,7,13,0,regular,0,90.26,75.87,0,95.0
70.0,65.0,9/15/2019,1,14,0,regular,0,89.4,74.62,1,96.0
83.75,71.875,9/16/2019,2,15,0,value,0,85.73,73.07,0,96.0
41.875,56.11111111,9/17/2019,3,16,0,value,0,86.28,73.24,1,96.0
88.125,100.625,9/18/2019,4,17,0,value,0,90.34,72.31,0,97.0
67.5,66.1111111,9/19/2019,5,18,0,value,0,89.27,72.63,1,97.0
47.5,50.625,9/20/2019,6,19,0,regular,0,87.75,73.94,1,94.0
104.4444444,93.8888889,9/21/2019,7,20,0,regular,0,87.38,74.19,0,94.0
54.375,66.25,9/22/2019,1,21,0,regular,0,88.97,74.87,1,96.0
85.0,80.625,9/23/2019,2,22,0,value,0,90.63,74.12,0,96.0
46.875,48.75,9/24/2019,3,21,0,value,0,91.27,74.1,1,96.0
56.875,68.75,9/25/2019,4,20,0,value,0,91.15,74.66,0,95.0
61.42857143,65.625,9/26/2019,5,19,0,value,0,91.84,73.98,1,96.0
58.57142857,55.0,9/27/2019,6,18,0,regular,0,88.03,74.84,1,88.0
123.125,95.0,9/28/2019,7,17,0,regular,0,85.89,74.36,0,88.0
95.0,101.25,9/29/2019,1,16,0,regular,0,85.07,74.26,1,85.0
82.5,98.75,9/30/2019,2,0,0,value,0,84.2,74.71,0,85.0
